mbirmi,tëggin,xeet,nettalin_fr,nettalin_wo
teru,[teru],verbe intransitif,"apparaître (nouvelle lune), commencer (mois)",Weer wi teru na.
tette,[tet:e],verbe transitif,"guider, initier",Yaa ma tette ci sama liggeey.
texe,[texe],verbe,"être béni, être bienheureux","Boo naree texe, ci yoon wii ngay jaar."
textexaan,[textexa:n],verbe transitif,chatouiller les côtes,Damaa ragal ku ma textexaan.
tey,[tej],verbe transitif,faire exprès,Maa ko tey.
tey,[tej],adverbe,aujourd’hui,Tey la ñów.
tee,[te:],verbe transitif,,
teeb /né/,[te:b],coverbe,attraper lestement,Dafa ko né teeb.
teefanke,[te:fʌŋke],nom,maquignon,Teefankee ma jaay fas wi.
teel,[te:l],verbe,"être trop tôt, (faire quelque chose) tôt","Teel na, demal ba ca kanam nga dellusi."
teen,[te:n],nom,puits,Teen bi xóot na.
teengaade,[te:ŋga:de],nom,chapeau de paille en forme de cône,"Solal sa teengaade, naaj wi tàng na."
teeñ,[te:ɲ],verbe intransitif,avoir des poux,Sooda dafa teeñ.
teeñ,[te:ɲ],nom,pou,Farmasi dina jaay garabu teeñ.
teeñ,[te:ɲ],nom,titre que portaient les anciens souverains du Baol,Teeñ Maalikumbaa yaatal Bawol.
teeŋ,[te:ŋ],adjectif,"être tendu, raide",Buum gi teeŋ na.
teer,[te:r],verbe intransitif,"s’arrêter (véhicule, objet en mouvement)",Gaal gi teer na.
teertu,[te:rtu],verbe transitif,,
teertu,[te:rtu],nom,,
teeru,[te:ru],verbe transitif,"aller au devant de quelqu’un qui arrive, accueillir",Ba ma wàccee sama doom a ma teeru.
teeru,[te:ru],nom,"débarcadère, lieu d’arrêt",Teeru Gore laa jóge.
tees,[te:s],verbe intransitif,"s’achever (pilage, propos, affaire)",Wol gaa ngiy tees.
teew,[te:w],verbe intransitif,être présent,"Bala noo wax, sa yaay teew."
teew-mi-teew,[te:wmite:w],adverbe,"sur-le-champ, tout de suite, au comptant",Wax ko ci teew-mi-teew.
teewe,[te:ye],verbe transitif,être présent à,Teewe nga ndaje ma ?
teewlu,[te:wlu],verbe transitif,se concentrer,Teewlul li ñuy wax baax na lool.
teey,[te:j],verbe transitif et intransitif,se décanter,Ndox mi teey na.
teeylu,[te:jlu],verbe intransitif,"ne pas se précipiter, agir avec pondération",Teeylul li ngay def.
télbati,[telbʌti],verbe intransitif,"avoir un traumatisme mental, traumatiser","Léegi, Daawuur dafa mel ni ku télbati."
témbóo,[tembo:],verbe intransitif,être ex-æquo,Ci rawante ba sunu ñaari fas yaa témbóo.
ténj,[tenɉ],verbe intransitif,porter le deuil,Dafay ténj jëkkëram.
ténj,[tenɉ],nom,période de deuil,Ténjam gi matagul.
téq,[teq],verbe transitif,faire un croc-en-jambe,"Dama ko téq, mu daanu."
téq,[teq],verbe intransitif,appuyer sur la gâchette,Boo diiree ba mu jub nga téq.
téqtal,[teqtʌl],verbe transitif,faire trébucher,Bu ko téqtal.
téq-téq,[teqteq],nom,empêchement,Bëggóon naa ñów waaye damaa amoon téq-téq.
tésbati,[tesbʌti],verbe intransitif,,
tés-tés,[testes],nom,"activité fébrile, effervescence, agitation",Tés-tés ji tanqal na ma.
tés-tési,[testesi],verbe intransitif,"s’activer, s’agiter",Ma ngiy tés-tési rekk.
téstën,[testən],nom,talon,Sama téstën ay metti.
téyé,[teje],verbe transitif,"tenir, retenir",Loo téyé ci sa loxo ?
téegal,[te:gʌl],verbe transitif,"circoncire, faire circoncire",Dama bëgga téegal sama doom.
téegal,[te:gʌl],nom,résultat de la circoncision,Téegalam bi set na lool.
téegu,[te:gu],verbe intransitif,subir la circoncision,Kañ nga teegu ?
téeméer,[te:me:r],numéral,cent,Kurusu tiijaan téeméeri per la.
téeméer,[te:me:r],nom,billet de cinq cents francs,May na ma téeméeri dërëm.
téen,[te:n],verbe intransitif,relever la tête,Téenal ma tuuf la.
téeñ,[te:ɲ],nom,bourrelet de tête pour porter un fardeau,Teeñ bi rot na.
téeré,[te:re],nom,"talisman écrit, livre",Abal ma sa téeré bi.
téesante,[te:sʌnte],verbe intransitif,"se confronter, s’affronter",Bàyyileen téesante.
téesante,[te:sʌnte],nom,affrontement,Dafa ma woo ci téesante bi.
të,[tə],verbe,"être indocile, insoumis",Xale bu të la.
tëb,[təb],verbe transitif,"sauter, bondir",Ammet tëb na buum gi.
tëcc,[təc:],verbe transitif,"taper pour écraser, attendrir",Tëccal yapp wi.
tëdd,[təd:],verbe intransitif,se coucher,Tëdd na bu yàgg.
tëf /né/,[təf],coverbe,éclater (coup de fusil),Dafa ko né tëf mu né këpp.
tëfli,[təfli],verbe transitif et intransitif,cracher,Bu fi tëfli.
tëf-tëf,[təftəf],nom,motocyclette,Sandarma bi war na tëf-tëf.
tëgal,[təgʌl],verbe transitif,faire sauter (le bébé sur les genoux),Mu ngi tëgal doomam.
tëgg,[təg:],verbe transitif et intransitif,"battre en rythme, battre le métal",Déglul mu ngi tëgg.
tëgg,[təg:],nom,fait de battre en rythme,Tëgg mi sore na.
tëgg,[təg:],nom,"forgeron, bijoutier",Yobbul lam bi ca tëgg ba.
tëggé,[təg:e],verbe transitif,inciter deux individus à la bagarre,Bu ñu tëggé ndax maa ko mën.
tëj,[təɉ],verbe transitif,"fermer à clé, boucher, fermer",A ― Tëj na buntu bi ? B ― Waaw.
tëkku,[tək:u],verbe transitif,menacer en paroles,"Bu ma tëkku, ragaluma la."
tël,[təl],verbe transitif,"propulser, faire rebondir",Xale bi tël na bal bi.
tëlé,[təle],verbe intransitif,"n’en plus pouvoir, être à bout de souffle","Léegi tële nga, bàyyil."
tëlëj,[tələɉ],nom,instrument de musique en calebasse trouée aux deux extrémités,Déglul tëlëj gi.
tëll,[təl:],nom,grosse tranche de poisson,Ñaari tëlli coof la jënd.
tëlsi,[təlsi],nom,sucre en pain,Jëndal ma tëlsi.
tëmb,[təmb],verbe intransitif,flotter,Leget gaa ngiy tëmb.
tëmbal,[təmbʌl],nom,bouée,"Léegi ñu yegg, maa ngiy seen tëmbal yi."
tëng,[təŋg],nom,jeune femelle,Tëngu xar la ma may.
tënk,[təŋk],verbe transitif,entraver les deux pattes de devant d’un animal,Mbaam mi tënk nañu ko.
tënk,[təŋk],nom,entrave,Tënk bi dog na.
tëñu,[təñu],verbe intransitif,porter le pagne noué sous les seins,Foo ko fekk mu nga teñu.
tër,[tər],verbe transitif,tenir couché,Kayleen tër xar mi ma rendi ko.
tër,[tər],nom,position couchée,Sala tër bi neexul biig.
tër,[tər],nom,crasse sur le corps,Yaramam wi wépp tër la.
tëral,[tərʌl],verbe transitif,"coucher (quelqu’un), mettre au point",Demal tëral xale bi mu ngee nelaw.
tërëf,[tərəf],verbe intransitif,"perdre l’équilibre, chanceler",Mu ngee tërëf ni ku mandi.
tëru,[təru],verbe transitif,"guetter, être à l’affût",Dama doon tëru sàcc bi.
tës-tës,[təstəs],nom,,
tëstën,[təstən],nom,,
tëx,[təx],verbe,"être sourd, être dur d’oreille",Xale bi dafa tëx.
tëx,[təx],nom,personne sourde,Dangay sonn ci dara ndax ab tëx la.
tëx,[təx],nom,surdité,Tëxam gaa ngi bawoo ci feebar.
tibb,[tib:],nom,poignée,Benn tibbu dugub la sànni picc ya tey.
tibb,[tib:],verbe transitif,"prendre une poignée, prendre une certaine quantité",Demal tibb ceeb indil ma.
tibbaate,[tib:a:te],verbe transitif et intransitif,répartir le repas,Sama yaay tibbaate na ba-pare.
ticc,[tic:],coverbe,être très (indocile),Boobu taalibé dafa të ticc.
tif,[tif],nom,rhumatismes,Dafa ànd ag tif.
tifli,[tifli],verbe transitif et intransitif,,
tigadege,[tigʌdege],nom,pâte d’arachides grillées,Jaay ko tigadege.
tijji,[tiɉ:i],verbe transitif,"ouvrir avec une clé, déverrouiller",Tijji na buntu bi.
tikki,[tik:i],verbe transitif,,
tilim,[tilim],verbe,être sale,"Fóotal sa sér bi, tilim na léegi."
tilim,[tilim],nom,saleté,Mbedd moomu dafa fees dell ag tilim.
till,[til:],nom,chacal,Masuma gis till.
timis,[timis],nom,"crépuscule, prière de crépuscule chez les musulmans",Demal ba timis nga ñów.
timbi,[timbi],verbe intransitif,"revenir à la surface, émerger",Gaal gi suuxoon timbi na.
tin,[tin],verbe transitif,céder à la requête de quelqu’un,"Tin ma ci, bu ko génne sa kër."
tin,[tin],nom,variété hâtive de sorgho,Foo jënde sa tin ji.
tipp,[tip:],verbe transitif,"porter son choix, jeter son dévolu sur",Tipp naa màngo bii.
tipp /né/,[tip:],coverbe,"trancher net, se trancher net",Buum gi dafa né tipp.
tipp-tipp,[tip:tip:],nom pluriel,ensemble de taches,Fas wi dafa weex te am ay tipp-tipp yu ñuul.
tippante,[tip:ʌnte],verbe,être tacheté,"Naat, picc mu tippante la."
tis,[tis],verbe transitif et intransitif,éclabousser,Ndox mi tis na ci sama mbubb.
tisati,[tisʌti],verbe transitif,attaquer de façon bénigne,Ŋas ji dafa ko tisati.
tisbaar,[tisba:r],nom,"début d’après-midi, prière faite à ce moment",Tisbaar jot na.
tisli,[tisli],verbe intransitif,éternuer,"Yaa ngi tisli rekk, xanaa danga soj ?"
tisóoli,[tiso:li],verbe intransitif,,
tiib /né/,[ti:b],coverbe,,
tiim,[ti:m],verbe transitif,"surplomber, dominer",Garab a tiim teen ba.
tiim,[ti:m],verbe intransitif,se purifier au sable avant la prière,"Tey damay tiim, awma ndox."
tiiñ,[ti:ɲ],verbe transitif,échapper au contrôle de,Xale bii tiiñ na ma.
tiiñal,[ti:ɲʌl],verbe transitif,"acculer aux aveux, tirer les vers du nez",Mag deesu ko tiiñal.
tiir,[ti:r],nom,botanique,
tiir,[ti:r],nom,huile de palme,Jaay ma tiir.
tiis,[ti:s],verbe transitif,être pesant pour,Dem këram waxtu wii tiis na ma.
tiis,[ti:s],nom,"malheur, souci",Am na aw tiis tey.
tiisoo,[ti:so:],verbe transitif,avoir pour souci,Léegi dem laa gën a tiisoo.
tiisu,[ti:su],verbe transitif et intransitif,vomir,Mu ngiy tiisu sànq ba-tey.
tiit,[ti:t],verbe intransitif,"être effrayé, avoir peur",Lu-tax nga tiit ?
tiitar,[ti:tʌr],nom,"marques d’honneur, références, titres",Wax ma say tiitar.
tiitaange,[ti:ta:ŋge],nom,"effet de la peur, commotion","Bàyyi ko mu noppalu, tiitaange ko jàppandi."
tobbi,[tɔb:i],verbe intransitif,creuser des trous pour y déposer la semence,"Mu ngi tobbi, may ji."
toccamiku,[tɔc:ʌmiku],verbe intransitif,s’enduire de crème,Boo sangoo ba-noppi na nga toccamiku.
tof,[tɔf],nom,"suite, file",Tofum mellentaan kenn du ko dog.
tofal,[tɔfʌl],verbe transitif,"faire suivre, ajouter",Loo ci tofal ?
tofo,[tɔfɔ],nom,puîné(e) immédiat(e),Astu moy sama tofo.
togg,[tɔg:],verbe transitif,cuisiner,Ganaar la tog reer.
togg,[tɔg:],verbe,prendre en croupe,Bu-jëkk séet bu daan sëyi dañu ko daan togg ci fas.
togg-saabu,[tɔg:sa:bu],verbe intransitif,fixer dans le blanc des yeux,Togg-saabu jigul xaleel.
toj,[tɔɉ],verbe transitif et intransitif,"casser, briser, rompre",Kaas bi toj na.
tojal,[tɔɉʌl],verbe transitif,"souiller son linge (pour le nourrisson), rendre impur",Sa doom ji tojal na.
tojal,[tɔɉʌl],nom,selles de nourrisson,Tojali xale bi dafa rattax.
tokkoo,[tɔk:ɔ:],nom,"dans le groupe des enfants à circoncire le premier qui subit l’opération, généralement le plus jeune",Kuy tokkoo bi ci yéen ?
tol,[tɔl],nom,fruit à gousse aigre qui rentre dans la préparation du riz. (Landolphia heudelotti A.D.C.),"Boo demee ja ba, jëndal tol."
toll,[tɔl:],coverbe,être très (acide),Ñeex mi dafa forox toll.
tollale,[tɔl:ʌle],verbe transitif,"comparer, mettre en balance",Bala ngaa dogu na nga tollale xalaat yi.
tollale,[tɔl:ʌle],nom,équivalent,Ñaari barigó gerte tuuti la ëppe tollale barigó ceeb.
tolloo,[tɔl:ɔ:],verbe intransitif,"se mesurer la taille en se mettant côte à côte, avoir la même taille",Kay nu tolloo ba xam ku sut.
tollu,[tɔl:u],verbe intransitif,"équivaloir, être en mesure de",Sama doom tollu na ci fukki at ag ñaar.
tomb,[tɔmb],verbe intransitif,mettre un point,Boo yeggalee nga tomb.
tomb,[tɔmb],nom,point,Lii tomb bu weex la.
tombe,[tɔmbe],verbe intransitif,coïncider,Ngénté li dafa tombe ag céytu sama jigéen.
tonet /né/,[tɔnet],coverbe,répliquer soudainement,Dama ko doon yedd mu né tonet ne ma sa yoon nekku ci.
tonni,[tɔn:i],verbe transitif,prélever (quelque chose) qui est à la surface,Tonnil niw gi.
tond,[tɔnd],verbe,être peu profond,"Gasal foofu pax mu tond, doy na."
tongoo,[tɔŋgɔ:],verbe intransitif,être en bisbille,Ñaari jabaram yi dañuy tongoo.
tongu,[tɔŋgu],verbe transitif,chercher noise à,Léegi kay dafa may tongu.
tonk,[tɔŋk],verbe intransitif,,
tonkoro,[tɔŋkɔrɔ],nom,tabac local,Ren bey naa tonkoro mu bari.
tonqi,[tɔŋqi],verbe intransitif,perdre les eaux chez la parturiente,Gaawal yóbbu ko tambali na tonqi.
tont,[tɔnt],nom,"réponse, réplique",Luy sa tont ?
tontu,[tɔntu],verbe transitif,"répondre (à une question), répliquer",Kenn du tontu sa baay.
toŋ,[tɔŋ],verbe intransitif,se percher,Picc mi toŋ na ci kow garab gi.
toŋ-toŋ,[tɔŋtɔŋ],verbe transitif,partager la viande d’un animal entre des cotisants,Nag wu rëy lañu toŋ-toŋ ci tamxarit ji.
toŋal,[tɔŋʌl],verbe transitif,persécuter,Goroom bi dafa ko toŋal.
toŋŋ /né/,[tɔŋ:],coverbe,"se trouver dans un endroit, une position qui domine","Mu ngi né toŋŋ ci kow taax mi, tiim gox bi."
topp,[tɔp:],verbe,suivre,Bu ma topp de !
toppal,[tɔp:ʌl],verbe transitif,déplacer,Toppal ko ci sa càmmoñ.
toppandoo,[tɔp:ʌndɔ:],verbe transitif,imiter,Toppandoo doŋŋ la mën.
toppatoo,[tɔp:ʌtɔ:],verbe transitif,"s’occuper de, prendre soin de",Toppatoo na gan gi.
toppoo,[tɔp:ɔ:],verbe intransitif,ne cesser de (dire…),"Mu ngi toppoo « demal, demal ! »."
toppu,[tɔp:u],verbe transitif,"revoir un texte, relire",Toppul ma sama bind mi.
toq,[tɔq],verbe,"goutter, tomber par gouttes",Ndox maa ngi toq.
toq,[tɔq],nom,goutte,Naanal ñatti toq rekk ci garab gi.
toq,[tɔq],nom,petit calao à bec noir ou rouge,Ag toq a nga nale.
toqental,[tɔqentʌl],nom,eau bénite donnée à boire au nouveau-né avant toute autre nourriture,Jox ko toqental.
toqi,[tɔqi],verbe intransitif,être engourdi,"Aw ma, sama loxo toqi na."
torox,[tɔrɔx],verbe,"être profondément honteux, être mortifié",Bi ma waxee ba-noppi la torox.
toroxlu,[tɔrɔxlu],verbe intransitif,chercher à s’humilier (devant Dieu),Toroxlu ci sa boroom dara gënu ko.
toroxte,[tɔrɔxte],nom,grande honte,Toroxteem jee ko tee génn.
tos,[tɔs],verbe transitif,fumer un champ,Tos na tool bépp.
tos,[tɔs],nom,"fumier, engrais",Tool bi am na tos.
toskan,[tɔskʌn],verbe intransitif,avoir ses petits (ovipares),Ganaar gi toskan na.
toskan,[tɔskʌn],nom,couvée,Toskan mi juróom-ñetti cuuj la.
toskare,[tɔskʌre],verbe,être misérable,Léegi toskare na lool.
toskare,[tɔskʌre],nom,misère,Toskare ji mu nekke yàgg na.
tot,[tɔt],verbe transitif,couper la retraite à,Tot nañu sacc bi.
tott,[tɔt:],coverbe,être au plus haut degré (de la honte),Ndaw si née na tott.
toxoñ,[tɔxɔɲ],verbe transitif,frotter (les yeux),Bul toxoñ say bët.
toxoro,[tɔxɔrɔ],nom,flûte,Ku la abal toxoro ?
toxoro,[tɔxɔrɔ],verbe intransitif,jouer de la flûte,Damay jàng toxoro.
toxu,[tɔxu],verbe intransitif,déménager,Damay toxu tey.
toyy,[tɔj:],coverbe,être très (léger),Pajaas yi xew léegi dañu woyof toyy.
toobo,[tɔ:bɔ],nom,petit trou destiné à recevoir la semence,Toobo mi dafa xóot.
toof,[tɔ:f],nom,étoffe,Jënd nga toof bu rafet.
toog,[tɔ:g],verbe intransitif,"s’asseoir, être assis, rester tranquille",Toog na ci siis bi.
tooge,[tɔ:ge],verbe transitif,passer son temps à médire de,Foo ko fekk ma nga tooge nit.
toogu,[tɔ:gu],nom,"banc, siège",Jox ma toogu bi.
tooke,[tɔ:ke],nom,"effet produit par un venin ou par un coup violent, puissance de frappe","Jaan a ko màtt, tooke ji waccagul."
tool,[tɔ:l],nom,"champ, verger",Sa tool bi dafa sori.
toole,[tɔ:le],nom,"griot, bouffon, moulin à paroles",Ab toole dafay reelu.
tooñ,[tɔ:ɲ],verbe transitif,"taquiner, avoir tort, porter préjudice",Bu ma tooñ.
toortoor,[tɔ:rtɔ:r],nom,garde-bœufs (Bubulcus ibis),Toortoor yaa ngi topp nag yi.
tooy,[tɔ:j],verbe,"être mouillé, trempé, être humide, vert, frais (par opposition à sec)",Suuf si tooy na xepp.
tooy,[tɔ:j],nom,"courbatures, poudre pour calmer les courbatures",Jéllam bi tooy la ci jële.
tooy-tooy,[tɔ:jtɔ:j],nom,"endroit mouillé, flaque",Wattul tooy-tooy bi.
tócc /né/,[toc:],coverbe,"être confus, honteux",Mu ngi né tócc.
tóllanti,[tol:ʌnti],verbe intransitif,"renouveler, recommencer",Sàccoon na daaw ren mu tóllanti.
tóq,[toq],nom,,
tóx,[tox],verbe transitif et intransitif,fumer (tabac),"Bàyyil tóx, sa yaram neexul."
tóxu,[toxu],nom,pipe,Abal mag tóxu.
tóoj,[to:ɉ],verbe transitif,"poser sur un support, surélever",Tóoj na lal bi.
tóoj,[to:ɉ],nom,"support, objet surélevé",Roppil tóoj gi.
tóokër,[to:kər],nom,jardin de case,Demal gasi pulloox ca tóokër ba.
tóol,[to:l],verbe intransitif,"être impair, ne pas faire le compte",Waññ naa jur gi waaye tóol na ñaar.
tóortóor,[to:rto:r],verbe intransitif,"fleurir, être en fleurs",Garab gi tóortóor na.
tóortóor,[to:rto:r],nom,fleur,Tóortóor yu rafet laa bëgg jënd.
tóoy,[to:j],verbe,"être lourdaud, mal habile",Xaale bu tóoy la.
tubaab,[tuba:b],nom,Européen,Gisuloo tubaab bi fi jaar léegi ?
tubéy,[tubej],nom,"culotte, pantalon",Fóotal ma sama tubéy ji.
tubbi,[tub:i],verbe intransitif,renoncer à l’Islam après s’y être converti,Kooku tubbi na bu yàgg.
tucc-tuccal,[tuc:tuc:ʌl],verbe transitif,écraser à petits coups,Maam dafay tucc-tuccal gerte gi.
tudd,[tud:],verbe transitif,"nommer, se nommer",Noo tudd ?
tudd,[tud:],nom,imposition du nom,Tudd ma rekk laa fekke.
tudde,[tud:e],verbe transitif,imposer à quelqu’un ou à quelque chose le nom d’un personnage,Mbedd mii Lamin Géy lañu ko tudde.
tuddeeful,[tud:e:ful],nom,"ténia, ver solitaire",Tuddeeful la ame.
tufe,[tufe],verbe transitif,cuire à l’étouffée,Dafa tufé yapp wi.
tufli,[tufli],verbe transitif et intransitif,,
tufu,[tufu],interjection,"marquant soit la réprobation, soit la plaisanterie, l’affection",Tufu! yaa bon!
tugal,[tugʌl],nom,Europe,Tugal la jóge.
tukkal,[tuk:ʌl],verbe intransitif,être en rut (animaux mâles),Kuuy mi dafa tukkal.
tukkal,[tuk:ʌl],nom,chameau étalon,Xaanaa sa tukkal geey mbëmb ?
tukki,[tuk:i],verbe intransitif,"voyager, être en voyage",Sama baay dafa tukki.
tukki,[tuk:i],nom,voyage,Tukki bu sore laa fas yeenee sumb.
tukkurmuut,[tuk:urmu:t],verbe intransitif,être dans l’euphorie,Jànq bi dafa tukkurmuut.
tukkurmuut,[tuk:urmu:t],nom,euphorie,Tukkurmuutam ji yàggul.
tul,[tul],verbe,être invulnérable,"Paaka du bënn deram, dafa tul."
tul,[tul],nom,philtre qui confère l’invulnérabilité,"Ku naan tulam du bënn, du fof."
tulli,[tul:i],verbe intransitif,"produire un rythme dans un concert de tambours, battre en contre point","Tulli na, mu sabaru."
tulli,[tul:i],nom,chrysalide,Cig tulli laa dëgg.
tungóom,[tuŋgo:m],verbe transitif,porter à califourchon sur les épaules,Séen naa ko mu tungóom xaleel.
tunguné,[tuŋgune],nom,nain,Am na tunguné guy toog ci boppu koñ bi.
tuñ,[tuɲ],nom,lèvre,Dafa jamu tuñ.
tuñ-tuñi,[tuɲtuɲi],verbe intransitif,déployer beaucoup d’activité,Dama koo bàyyi muy tuñ-tuñi fale.
tupp-tupp,[tup:tup:],nom,,
tuq,[tuq],nom,petit mortier,Sama yaay am na tuq su bees.
tur,[tur],nom,"prénom, renom",Wax ma sa tur.
turandoo,[turʌndɔ:],nom,"l’une par rapport à l’autre, personne qui porte le même prénom par volonté des parents, homonyme",Ana sa turandoo ?
turki,[turki],nom,chemise traditionnelle,Sa turki xottiku na.
turné,[turne],nom,tournée de travail,Sunu boroom kër dem na turné.
tus,[tus],nom,"zéro, rien",Awma tus tey.
tusngal,[tusŋʌl],nom,khôl,May ma tuuti tusngal.
tut,[tut],nom,cicatrice en relief,Sa góom bi wér na waaye bàyyi na aw tut.
tutti,[tut:i],verbe transitif,"prélever linge, vaisselle",Faatoo ngiy tutti póot mi.
tux,[tux],verbe transitif et intransitif,,
tuyaaba,[tuja:bʌ],nom,"félicité divine, béatitude",Saraxe am na tuyaaba.
tuyy /né/,[tuj:],coverbe,"faire détoner, faire pan",Dafa né tuyy pitax mi mu dee.
tuub,[tu:b],verbe intransitif,religion,"Démb ci àjjuma ji, ñaari nit tuub nañu."
tuuba,[tu:bʌ],nom,"pipe de métal en forme de fume-cigarette, en usage surtout chez les Maures",Tuuba laay tóx.
tuubéen,[tu:be:n],nom,converti à l’Islam,Ab tubéen la waaye mën naa jiité julli gi.
tuuf,[tu:f],verbe transitif,instiller dans les yeux,Deel tuuf xale bi suba ag ngoon.
tuufaay,[tu:fa:j],nom,collyre,Jëndal ma tuufaay lu baax.
tuuk,[tu:k],interjection,qui marque la réprobation,Tukk ! sàcc bi !
tuuma,[tu:mʌ],nom,accusation sans preuve,Dindeegul tuuma ji.
tuumaal,[tu:ma:l],verbe transitif,accuser sans preuve,"Defu ko, dañu ko tuumaal."
tuur,[tu:r],verbe transitif,"répandre, verser, vider en renversant",Demal tuur ca ndox mu sedd.
tuur,[tu:r],nom,totem,Ku sant Ja du laal bar ndax tuuram la.
tuur,[tu:r],nom,esprits attachés à un lieu ; lieu où ces esprits sont invoqués,Tuur yee ko jàpp.
tuuru,[tu:ru],verbe intransitif,faire des libations à l’autel d’un esprit,Bala moo wér fokk mu tuuru.
tuut,[tu:t],nom,quantité infime,Jox ma samas tuut.
tuuti,[tu:ti],verbe,"être petit, mince",Xale bu tuuti la.
tuuti,[tu:ti],nom,"un peu de, un peu",May ma tuuti ndox.
ub,[ub],verbe transitif,"fermer, clore",Dama doon ub bunt bi.
ubale,[ubʌle],verbe intransitif,"envahir un espace de (bruit, odeur)",Wax ji dafa ubale ràpp.
ubale,[ubʌle],verbe intransitif,"envahir un espace de (bruit, odeur)",Wax ji dafa ubale ràpp.
ubéer,[ube:r],nom,battant de porte,Lafal ubéer bi.
ubbi,[ub:i],verbe transitif,"ouvrir, commencer, débuter, inaugurer",Ummi ubbi na néegam.
ubbi,[ub:i],verbe transitif,"ouvrir, commencer, débuter, inaugurer",Ummi ubbi na néegam.
um,[um],verbe intransitif,débuter le Ramadan,Suba laay um.
um,[um],verbe transitif,"porter malchance, la guigne à",Yaa ma um tey.
umu,[umu],verbe intransitif,voir la poisse,"Moom de yéex na séy, xanaa dafa umu."
ump,[ump],verbe intransitif,"échapper à la connaissance, rester secret",Loolu ump na la.
umpaañ,[umpa:ɲ],nom,,
unk,[uŋk],nom,"gecko, tarente",Unk dafay lekk yoo.
upp,[up:],verbe transitif,"éventer, attiser en éventant",Mu ngi upp taal bi.
uppukaay,[up:uka:j],nom,éventail,Foo jënde sa uppukaay ?
urmbal,[urmbʌl],nom,"réduit, isoloir",Dugg na ci urmbal bi.
uudé,[u:de],nom,,
uum,[u:m],verbe transitif,,
wacc,[wʌc:],verbe transitif,"laisser, abandonner, répudier",Wacc na fi xale bi.
waccu,[wʌc:u],verbe,vomir,"Xale baa ngiy waccu, xam naa dafa feebar ?"
wadala,[wdl],nom,mouton croisé,Am wadala la tabaskee.
wadd,[wʌd:],verbe intransitif,tomber d’une certaine hauteur,Caabi ji wadd na.
wago,[wʌgɔ],nom,"wagon, coach",Saxaar gi ñaari wago rekk la am.
wagg,[wʌg:],verbe,marcher en balançant les épaules,Séen naa ko muy wagg di dem.
wajan,[wʌjn],nom,jument,Wajan wu weex la war.
wal,[wʌl],verbe,"ruisseler, déborder",Dex gi wal na ba ci dëkk bi.
wal,[wʌl],nom,courant d’une rivière,Wal ma yóbbu na sa mbaxane.
wal,[wʌl],nom,,
walawokkin,[wʌlwɔk:in],nom,"pauvre hère, misérable et envieux","Weesu na walaakaana, walawokkin la."
walaakaana,[wʌla:ka:nʌ],nom,"personne totalement démunie, pauvre hère, misérable","Amul dara, walaakaana rekk la."
walaat,[wʌla:t],nom,"quart, quart de litre",Jaay ma walaat ci meew mi.
walbati,[wʌlbti],verbe,"retourner, retourner dans le bon sens",Walbati naa sama mbubb.
walbit /né/,[wʌlbit],coverbe,retourner ou se retourner brusquement,"Dafa né walbit, né waaxañ-waaxañ."
wale,[wʌle],verbe,être vermoulu,Gunóór bi gas na bant bi ba mu wale.
waliyu,[wʌliju],nom,,
waliis,[wʌli:s],nom,valise,Yenul ma sama waliis wi.
wall,[wʌl:],nom,"secours, assistance",Wall gi gaaw na.
walla,[wʌl:],conjonction,"ou, ou bien, sinon","Biiram dafay dow, jox ko buy walla mbiskit."
wallax-njaan,[wʌlxnɉa:n],nom,larve de moustique,"Tuural ndaa li, wallax-njaan yi dee."
wallaay,[wʌl:a:j],interjection,(utilisée pour consolider des propos),"Wallaay wax naa la ko, duma dem ëllëg."
wallet,[wʌl:et],nom,sorte de haricot hâtif,Wallet wi ñor na xaat.
wanag,[wʌng],nom,"arrière-cour, toilettes",Mu ngi ci wanag wi.
wann,[wʌn:],verbe transitif,avaler,Bul wann xooxu buy bi.
wañ,[wʌɲ],verbe transitif,"exercer une torsion, tordre",Mbubb mi kenn du ko wañ.
wañax,[wʌɲʌx],verbe intransitif,être en ébullition,Ndox maa ngiy wañax.
wañaar,[wʌɲa:r],verbe transitif,tordre à fond,Bul wañaar loxoom.
waññ,[wʌɲ:],verbe transitif,compter,Ñaata xar nga waññ ?
waññi,[wʌɲ:i],verbe transitif,"faire rebrousser chemin, retourner quelqu’un sur ses pas",Maa ko waññi.
waŋ,[wʌŋ],verbe,"être stéatopyge, avoir de grosses fesses",Janq bu waŋ la takk.
waŋ,[wʌŋ],nom,"stéatopygie, grosses fesses",Waŋ jee tax doxam diis.
waŋŋ,[wʌŋ:],nom,insecte suceur qui attaque les arachides ; la famille des lygéides,Waŋŋ yaa ko xañ gerte ren.
waŋŋ /né/,[wʌŋ:],coverbe,"être nu, montrer son derrière",Mu ngi né waŋŋ.
waŋŋeetu,[wʌŋ:e:tu],verbe intransitif,ruer,Mbaam maa ngiy waŋŋeetu.
war,[wʌr],verbe,"devoir, être dans l’obligation de, incomber",War nga teel a ñów.
war,[wʌr],verbe transitif,"monter à califourchon, se mettre sur",War na mbaam.
war,[wʌr],verbe intransitif,"après les cérémonies du mariage, pour une femme, rejoindre le domicile conjugal",Kañ la séet biy war ?
