mot_vedette,prononciation,catégorie_grammaticale,ex_wol,ex_fra
seenileer,,,,
séentu,,,,
séentu,[se:ntu],verbe,,
seeñu,,,,
séenu,,,,
séenu,[se:nu],verbe,,
séenuwin,,,,
seer,,,,
seere,,,,
seereer,,,,
seereer,[se:re:r],verbe,,
séeréer,,,,
sees,,,,
seet,,,,
seet,[se:t],verbe,,
séet,,,,
séet,[se:t],nom,,
seetaan,,,,
seetaan,[se:ta:n],verbe,,
seetaane,,,,
seetaanee,,,,
seetaankat,,,,
séetal,,,,
séetal,[se:tʌl],verbe,,
seetlu,,,,
seetlu,[se:tlu],verbe,,
seetu,,,,
seetu,[se:tu],nom,,
seetu,[se:tu],verbe,,
seew,,,,
seex,,,,
séex,,,,
séex,[se:x],nom,,
séex,[se:x],verbe,,
seexal,,,,
seexale,,,,
seexlu,,,,
séexlu,,,,
séexlu,[se:xlu],verbe,,
seey,,,,
seey,[se:j],verbe,,
sëey,,,,
sef,,,,
sef,[sef],verbe,,
sëf,,,,
sëf,[səf],nom,,
sëf,[səf],verbe,,
sëfoor,,,,
sëfóor,,,,
ség,,,,
ség,[seg],verbe,,
sëg,,,,
sëg,[səg],nom,,
segal,,,,
segal,[segʌl],nom,,
segal,[segʌl],verbe,,
sëgal,,,,
segg,,,,
segg,[seg:],nom,,
segg,[seg:],verbe,,
sëgg,,,,
sëgg,[səg:],verbe,,
sëggal,,,,
seggukaay,,,,
seju,,,,
sékk,,,,
sëkk,,,,
sëkk,[sək:],coverbe,,
sëkk,[sək:],nom,,
sëkk,[sək:],verbe,,
sekkere,,,,
sekketu,,,,
sekki,,,,
sekki,[sek:i],verbe,,
sekkit,,,,
sekkit,[sek:it],nom,,
seko,,,,
seku,,,,
seku,[seku],nom,,
sél,,,,
sël,,,,
selaw,,,,
selaw,[selʌw],verbe,,
selaw /né/,[selʌw],coverbe,,
selbe,,,,
selbe,[selbe],nom,,
sélébe,,,,
sélébeyoon,,,,
sëlëm,,,,
sëlëm,[sələm],verbe,,
selen,,,,
selew,,,,
sell,,,,
sell,[sel:],nom,,
sell,[sel:],verbe,,
sëll,,,,
sellaay,,,,
sellal,,,,
sëllax,,,,
sëllax,[səl:ʌx],verbe,,
sëllu,,,,
selluur,,,,
sélluur,,,,
sëlmal,,,,
sëlmël,[səlməl],verbe,,
sëlmu,,,,
sël-sëli,[səlsəli],verbe,,
sem,,,,
semb,,,,
sëmb,,,,
sëmb,[səmb],verbe,,
sémbóon,,,,
sëmb suuy,,,,
sëmm,,,,
sëmm,[səm:],coverbe,,
semmal,,,,
sémmiñ,,,,
sémmiñ,[sem:iɲ],nom,,
sempeeku,,,,
sempi,[sempi],verbe,,
sempiku,,,,
sen,,,,
sën,,,,
sën,[sən],nom,,
sëñ,,,,
senax,,,,
senax,[senʌx],verbe,,
sendal,,,,
sendal,[sendʌl],nom,,
séndal,,,,
sendaw,,,,
séndël,[sendəl],verbe,,
sëndënduur,,,,
sendikaa,,,,
sendikaa,[sendika:],nom,,
seneen,,,,
senegaal,,,,
seng,,,,
seng,[seŋg],nom,,
seng,[seŋg],verbe,,
séng,,,,
séng,[seŋg],nom,,
sëng,,,,
sëng,[səŋg],nom,,
sëngeem,,,,
sëngéem,,,,
senjeeñ,,,,
senjeñ,,,,
senjeñ,[seɲɉeɲ],nom,,
senk,,,,
senkiliku,,,,
senkiliku,[seŋkiliku],verbe,,
senn,,,,
senn,[sen:],verbe,,
sëntaare,,,,
sentam,,,,
sentuur,,,,
sentuur,[sentu:r],nom,,
seŋoor,,,,
seŋoor,[seŋɔ:r],nom,,
sepp,,,,
sépp,,,,
sëpp,,,,
sëpp,[səp:],verbe,,
seppali,,,,
seppali,[sep:ʌli],verbe,,
seppee,,,,
sëppéen,,,,
sëppéen,[səp:e:n],nom,,
sëppéental,,,,
seppi,,,,
seppi,[sep:i],verbe,,
seq,,,,
séq,,,,
séq,[seq],nom,,
séq,[seq],verbe,,
sëq,,,,
sëq,[səq],nom,,
sëq,[səq],verbe,,
sëqat,,,,
sëqat,[səqʌt],nom,,
sëqat,[səqʌt],verbe,,
sëqatoo,,,,
sëqët,,,,
seqi,,,,
seqi,[seqi],verbe,,
séqi,,,,
sëq-lipp,,,,
sëqu,,,,
ser,,,,
sér,,,,
sér,[ser],nom,,
sër,,,,
sër,[sər],nom,,
seral,,,,
serati,,,,
serati,[serʌti],verbe,,
serecu,,,,
sereŋ,,,,
sereti,,,,
sërëx,,,,
sërëxal,,,,
sërëx /né/,[sərəx],coverbe,,
seriñ,,,,
sëriñ,,,,
sériñtu,,,,
sëriñtu,,,,
sëriñu,,,,
sero,,,,
sero,[serɔ],nom,,
sërxal,,,,
sërxal,[sərxʌl],verbe,,
sërxët,,,,
sërxët,[sərxət],verbe,,
sës,,,,
sës,[səs],verbe,,
set,,,,
set,[set],verbe,,
sët,,,,
sët,[sət],nom,,
setaadiirkë,,,,
sew,,,,
sew,[sew],verbe,,
séwét,,,,
séwét,[sewet],verbe,,
sex,,,,
sex,[sex],verbe,,
sexaw,,,,
sexaw,[sexʌw],nom,,
sëxëtoo,,,,
séy,,,,
séy,[sej],nom,,
séy,[sej],verbe,,
sëy,,,,
sëy,[səj],nom,,
sëy,[səj],verbe,,
seyaan,,,,
seyante,,,,
séyt,,,,
séyt,[sejt],nom,,
seytaane,,,,
seytaane,[sejta:ne],nom,,
seytaane,[sejta:ne],verbe,,
si,,,,
si,[si],nom,,
sib,,,,
sib,[sib],verbe,,
sibbir,,,,
sibbir,[sib:ir],nom,,
sibbiru,,,,
sibbiru,[sib:iru],nom,,
sibbiru,[sib:iru],verbe,,
siben,[siben],,,
siben,[siben],nom,,
sibi,,,,
sibir,,,,
siboor,,,,
siboor,[sibɔ:r],nom,,
siddéem,,,,
siddéem,[sid:e:m],nom,,
siddéen,,,,
siddi,,,,
siddi,[sid:i],verbe,,
siddiit,,,,
siddiit,[sid:i:t],nom,,
siddit,,,,
siddit,[sid:it],nom,,
sif,,,,
sif,[sif],verbe,,
siféet,,,,
sifeet /né/,[sife:t],coverbe,,
sigareet,,,,
sigareet,[sigʌre:t],nom,,
sigaret,,,,
sigaret,[sigʌret],nom,,
siggal,,,,
siggal,[sig:ʌl],verbe,,
siggéet,,,,
siggi,,,,
siggi,[sig:i],verbe,,
siggi-lagg,,,,
siggi-lagg,[sig:ilʌg:],nom,,
sigicoor,,,,
sigiñu,,,,
sigiñu,[sigiɲu],verbe,,
sigó,[sigo],nom,,
sii,,,,
siidde,[si:de],verbe,,
siide,,,,
siif,,,,
siif,[si:f],nom,,
siif,[si:f],verbe,,
siika,,,,
siim,,,,
siim,[si:m],verbe,,
siin,,,,
siin,[si:n],nom,,
siiñ,,,,
siiñ,[si:ɲ],verbe,,
siin-siin,,,,
siiraas,,,,
siiru,,,,
siiru,[si:ru],nom,,
siis,,,,
siis,[si:s],nom,,
siis,[si:s],verbe,,
siisu,,,,
siisu,[si:su],verbe,,
siit,,,,
siit,[si:t],verbe,,
siiw,,,,
siiw,[si:w],verbe,,
sikaara,,,,
sikaara,[sika:rʌ],nom,,
sikaareem,,,,
sikal,,,,
sikk,,,,
sikk,[sik:],nom,,
sikk,[sik:],verbe,,
sikket,,,,
sikket,[sik:et],nom,,
sikket-jaxaluur,,,,
sikket-jaxaluur,[sik:etɉʌxʌlu:r],nom,,
sikket-mbow,,,,
sikket-mbow,[sik:etmbɔw],nom,,
sikkim,,,,
sikkim,[sik:im],nom,,
sikkóor,,,,
sikkóor,[sik:o:r],nom,,
silaama,,,,
silaama,[sila:mʌ],nom,,
sile,,,,
sileetmaa,,,,
silib,,,,
silinka,,,,
sillaa,,,,
silmaxa,,,,
silmaxa,[silmʌxʌ],nom,,
silmaxa,[silmʌxʌ],verbe,,
simb,,,,
simb,[simb],nom,,
simb,[simb],verbe,,
similaak-saala,,,,
simis,,,,
simmi,,,,
simmi,[sim:i],verbe,,
simmiku,,,,
simoŋ,,,,
simoŋ,[simɔŋ],nom,,
siñaaglu,,,,
siñaaglu,[siɲa:glu],verbe,,
siñaal,,,,
siñaara,,,,
siñaara,[siɲa:rʌ],nom,,
siñaarlu,,,,
siñaarlu,[siɲa:rlu],verbe,,
sincaan,,,,
sindax,,,,
sindax,[sindʌx],nom,,
sindóo,,,,
sineebar,,,,
sinemaa,,,,
sinemaa,[sinema:],nom,,
singa,,,,
singali,,,,
singali,[siŋgʌli],verbe,,
singeti,,,,
siññi,,,,
sintur,,,,
sipp,,,,
sipp,[sip:],verbe,,
sipp !,[sip:],interjection,,
sippaay,,,,
sippax,,,,
sippax,[sip:ʌx],nom,,
sippee,,,,
sippi,,,,
sippi,[sip:i],verbe,,
sippoŋ,,,,
siraat,[sira:t],nom,,
siraatal,,,,
sirati,[sirʌti],,,
siro,,,,
siró,[siro],nom,,
sisir,,,,
sisir,[sisir],verbe,,
siso,,,,
sisó,[siso],nom,,
siti,,,,
siti,[siti],nom,,
siti,[siti],verbe,,
siwo,,,,
siyaare,,,,
siyaare,[sija:re],nom,,
siyaare,[sija:re],verbe,,
siηoor,,,,
so,,,,
so,[sɔ],verbe,,
sob,,,,
sob,[sɔb],verbe,,
sobe,,,,
soble,,,,
soble,[sɔble],nom,,
socc,,,,
socc,[sɔc:],verbe,,
soccent,,,,
soccet,,,,
soccet,[sɔc:et],nom,,
soccu,,,,
soccu,[sɔc:u],nom,,
soccu,[sɔc:u],verbe,,
soddax,,,,
soddax,[sɔd:ʌx],verbe,,
sof,,,,
sof,[sɔf],verbe,,
sofe,,,,
sofe,[sɔfe],verbe,,
sofental,,,,
sofental,[sɔfentʌl],verbe,,
sófóor,,,,
sog,,,,
sog,[sɔg],verbe,,
soj,,,,
soj,[sɔɉ],nom,,
soj,[sɔɉ],verbe,,
sokk,,,,
sokk,[sɔk:],nom,,
sokk,[sɔk:],verbe,,
sol,,,,
sol,[sɔl],verbe,,
sold,,,,
sold,[sɔld],nom,,
soldaar,,,,
soldaar,[sɔlda:r],nom,,
solo,,,,
solo,[sɔlɔ],nom,,
solom,,,,
solom,[sɔlɔm],nom,,
soloo,,,,
soloo,[sɔlɔ:],verbe,,
solu,,,,
sómbi,,,,
sómbi,[sombi],nom,,
sómbi,[sombi],verbe,,
somm,,,,
somp,,,,
somp,[sɔmp],nom,,
somp,[sɔmp],verbe,,
sompaat,,,,
son,,,,
sonal,,,,
sonal,[sɔnʌl],verbe,,
sondeel,,,,
sondeel,[sɔnde:l],nom,,
song,,,,
song,[sɔŋg],nom,,
songoo,sɔŋgɔ:,,,
sonjaan,,,,
sonk,,,,
sonn,,,,
sonn,[sɔn:],verbe,,
soññ,,,,
soññ,[sɔɲ:],verbe,,
soo,,,,
soob,,,,
soob,[sɔ:b],nom,,
soob,[sɔ:b],verbe,,
sóob,,,,
sóob,[so:b],verbe,,
soobaan,,,,
soobee,,,,
sóobu,,,,
soode,,,,
soode,[sɔ:de],verbe,,
soof,,,,
soof,[sɔ:f],verbe,,
soog,,,,
sóogi,,,,
sooke,,,,
sooke,[sɔ:ke],verbe,,
soon,,,,
soon,[sɔ:n],nom,,
soon,[sɔ:n],verbe,,
sóon,,,,
soopeeku,,,,
sóor,[so:r],,,
sóoraa,,,,
soori,,,,
sóoróoy,,,,
soor-soor,,,,
sóoru,,,,
sóoru,[so:ru],verbe,,
soos,,,,
soos,[sɔ:s],nom,,
soos,[sɔ:s],verbe,,
soosa,,,,
soosale,,,,
soosant,,,,
soose,,,,
soosu,,,,
soosule,,,,
soow,,,,
soow,[sɔ:w],nom,,
soow,[sɔ:w],verbe,,
soowtaan,,,,
soox,,,,
soox,[sɔ:x],verbe,,
sóox,,,,
sóox,[so:x],nom,,
sóox,[so:x],verbe,,
soox-soox,,,,
soox-soox,[sɔ:xsɔ:x],nom,,
sooy,,,,
sooy,[sɔ:j],nom,,
sooy,[sɔ:j],verbe,,
sopp,,,,
sopp,[sɔp:],verbe,,
soppali,,,,
soppali,[sɔp:ʌli],verbe,,
soppeeku,,,,
soppeeku,[sɔp:e:ku],verbe,,
soppi,,,,
soppi,[sɔp:i],verbe,,
soppiku,,,,
soppiku,[sɔp:iku],verbe,,
soppis,,,,
sóppis,,,,
soq,,,,
soq,[sɔq],nom,,
soq,[sɔq],verbe,,
soqi,,,,
soqi,[sɔqi],verbe,,
sor,,,,
sor,[sɔr],nom,,
soraas,,,,
sorbo,,,,
sore,,,,
sore,[sɔre],verbe,,
sori,,,,
sori,[sɔri],verbe,,
sos,[sɔs],,,
sos,[sɔs],verbe,,
sot,[sɔt],,,
sottal,,,,
sottal,[sɔt:ʌl],verbe,,
sotti,,,,
sotti,[sɔt:i],verbe,,
sowu,,,,
sowu,[sɔwu],nom,,
sox,,,,
sox,[sɔx],nom,,
sox,[sɔx],verbe,,
soxal,,,,
soxal,[sɔxʌl],verbe,,
soxar,,,,
soxar,[sɔxʌr],verbe,,
soxla,,,,
soxla,[sɔxlʌ],nom,,
soxla,[sɔxlʌ],verbe,,
soxlaa,,,,
soxmaat,,,,
soxna,,,,
soxna,[sɔxnʌ],nom,,
soxnaa,,,,
soxor,,,,
soxor,[sɔxɔr],verbe,,
sox-soxoor,,,,
su,,,,
sub,,,,
suba,,,,
suba,[subʌ],nom,,
subaa,,,,
subbante,,,,
subbante,[sub:ʌnte],verbe,,
subbóoxun,,,,
subbóoxun,[sub:o:xun],interjection,,
sudulaŋ,,,,
sufurle,,,,
sugum,,,,
sugum,[sugum],nom,,
suj,,,,
sujjóot,,,,
sujjóot,[suɉ:o:t],nom,,
sujjóot,[suɉ:o:t],verbe,,
sukeer,,,,
sukk,,,,
sukk,[suk:],verbe,,
sukkandiku,,,,
sukkandiku,[suk:ʌndiku],verbe,,
sukkóot,,,,
sukkóot,[suk:o:t],nom,,
sukkóot,[suk:o:t],verbe,,
sukkóotu,,,,
sukkóotu,[suk:o:tu],verbe,,
sukkuraat,,,,
suku,,,,
sulaar,,,,
sulaar,[sula:r],nom,,
sulli,,,,
sulli,[sul:i],verbe,,
suluxu-mbalaxa,,,,
suluxu-mbalaxa,[suluxumbʌlʌxʌ],nom,,
sum,,,,
sumaare,[suma:re],nom,,
sumb,,,,
sumb,[sumb],nom,,
sumb,[sumb],verbe,,
sumeet,,,,
summi,,,,
summi,[sum:i],verbe,,
summiku,,,,
sumoo,,,,
sump,,,,
sump,[sump],nom,,
sunguf,,,,
sunguf,[suŋguf],nom,,
sunjuη,,,,
sunna,,,,
sunna,[sun:ʌ],nom,,
suññéel,,,,
suññéel,[suɲ:e:l],nom,,
sunu,,,,
suñu,,,,
supp,,,,
supp,[sup:],nom,,
suppeer,,,,
suppeer,[sup:e:r],nom,,
suppome,,,,
suppome,[sup:ɔme],nom,,
suq,,,,
suq,[suq],nom,,
suqali,,,,
suqali,[suqʌli],verbe,,
suqi,,,,
suqi,[suqi],verbe,,
sur,,,,
surga,,,,
surga,[surgʌ],nom,,
surux,,,,
surux,[surux],verbe,,
sut,,,,
sut,[sut],verbe,,
sutura,,,,
sutura,[suturʌ],nom,,
suturaal,,,,
suturaal,[sutura:l],verbe,,
suturlu,,,,
suturlu,[suturlu],verbe,,
suub,,,,
suub,[su:b],verbe,,
suubkat,,,,
suudaan,,,,
suude,,,,
suude,[su:de],verbe,,
suuf,,,,
suuf,[su:f],nom,,
suufe,,,,
suufe,[su:fe],verbe,,
suufeel,,,,
suufeelu,,,,
suufel,[su:fe:l],verbe,,
suufental,,,,
suufu,,,,
suufu,[su:fu],verbe,,
suukar,,,,
suukar,[su:kʌr],nom,,
suukar,[su:kʌr],verbe,,
suukare,,,,
suul,,,,
suul,[su:l],verbe,,
suuna,,,,
suuna,[su:nʌ],nom,,
suuñadi,,,,
suuñadi,[su:ɲʌdi],verbe,,
suur,,,,
suur,[su:r],verbe,,
suurur,,,,
suurur,[su:rur],nom,,
suus,,,,
suus,[su:s],verbe,,
suusal,,,,
suusal,[su:sʌl],nom,,
suusal,[su:sʌl],verbe,,
suux,,,,
suux,[su:x],nom,,
suux,[su:x],verbe,,
suuxat,,,,
suuxat,[su:xʌt],verbe,,
suuy,,,,
suweer,,,,
suy,,,,
suy,[suj],verbe,,
suy-suy,,,,
suy-suy,[sujsuj],nom,,
suy-suyal,,,,
taa,tɐ:,adjectif,,
taa,[ta:],verbe,,
taab,[ta:b],nom,,
taab,[ta:b],verbe,,
taabal,[ta:bʌl],nom,,
taaba-taaba,[ta:bʌta:bʌ],verbe,,
taafantoo,[ta:fʌntɔ:],nom,,
taafantoo,[ta:fʌntɔ:],verbe,,
taagut,[ta:gut],nom,,
taaj,[ta:ɉ],verbe,,
taajabóon,[ta:ɉʌbo:n],nom,,
taajabóon,[ta:ɉʌbo:n],verbe,,
taaju,tɐ:ɟu,adjectif,,
taal,[ta:l],nom,,
taal,[ta:l],verbe,,
taalaale,tɐ:lɐ:lɛ,,,
taalaale,[ta:la:le],nom,,
taalaale,[ta:la:le],verbe,,
taalibe,tɐ:libɛ,nom,,
taalibé,[ta:libe],nom,,
taalif,tɐ:lif,verbe,,
taamu,[ta:mu],verbe,,
taar,[ta:r],nom,,
taara,[ta:rʌ],nom,,
taarix,tɐ:rix,nom,,
taaru,[ta:ru],verbe,,
taas,[ta:s],nom,,
taas,tɐ:s,verbe,,
taasu,[ta:su],verbe,,
taat,[ta:t],nom,,
taataan,[ta:ta:n],,,
taataan,[ta:ta:n],nom,,
taataan,tɐ:tɐ:n,verbe,,
taataar,[ta:ta:r],verbe,,
taatan,[ta:tʌn],,,
taatan,[ta:tʌn],nom,,
taaw,[ta:w],nom,,
taawfeex,tɐwfɛ:x,nom,,
taawloo,tɐ:wlɔ:,verbe,,
taawlu,tɐ:wlu,verbe,,
taawu,[ta:wu],verbe,,
taax,tɐ:x,,,
taax,[ta:x],nom,,
taaxeerlu,tɐ:xɛ:rlu,verbe,,
taaxirlu,[ta:xirlu],verbe,,
taaxum-kaw,tɐ:xumkɐw,nom,,
taaxuraan,tɐ:xurɐ:n,,,
taaxuraan,tɐ:xurɐ:n,adjectif,,
taaxuraankat,tɐ:xurɐ:nkat,nom,,
taay,tɐ:y,adjectif,,
taay,[ta:j],verbe,,
taaya,[ta:jʌ],verbe,,
tab,[tʌb],nom,,
taba,[tʌbʌ],nom,,
tabala,[tʌbʌlʌ],nom,,
taban,[tʌbʌn],nom,,
tabanaani,[tʌbʌna:ni],nom,,
tabandoor,tɐbɐndɔ:r,,,
tabarfakàlla,tɐbɐ:rfɐkal:ɐ,,,
tabaski,[tʌbʌski],nom,,
tabaski,[tʌbʌski],verbe,,
tabax,tɐbɐx,,,
tabax,[tʌbʌx],nom,,
tabax,[tʌbʌx],verbe,,
tabaxkat,tɐbɐxkɐt,,,
tabb,[tʌb:],verbe,,
tàbbal,[tab:ʌl],verbe,,
tàbbi,tab:i,adjectif,,
tàbbi,[tab:i],verbe,,
tabe,tɐbɛ,adjectif,,
tabe,[tʌbe],verbe,,
tabiróon,tɐbiro:n,nom,,
tàcc,tacʰ,adjectif,,
tàcc /né/,[tac:],coverbe,,
tàcc /né/,[tac:],verbe,,
tàccu,tac:u,nom,,
tàccu,[tac:u],verbe,,
taf,tɐf,nom,,
taf,[tʌf],verbe,,
tafaar,[tʌfa:r],nom,,
tafu,[tʌfu],verbe,,
tafukat,tɐfukɐt,nom,,
tag,tɐg,adjectif,,
tag,[tʌg],verbe,,
tagal,[tʌgʌl],nom,,
tagal,tɐgɐl,verbe,,
tagar,[tʌgʌr],nom,,
tagatémbe,tɐgɐtembɛ,adjectif,,
tagatémbé,[tʌgʌtembe],verbe,,
tagg,[tʌg:],verbe,,
tàgg,[tag:],nom,,
tàgg,[tag:],verbe,,
taggaate,tɐg:ɐ:tɛ,adjectif,,
tàggale,[tag:ʌle],verbe,,
tàgganti,[tag:ʌnti],verbe,,
tàggat,tag:ɐt,,,
tàggat,[tag:ʌt],nom,,
tàggat,[tag:ʌt],verbe,,
tàgge,[tag:e],nom,,
tàgge,[tag:e],verbe,,
tàggoo,[tag:ɔ:],nom,,
tàggoo,[tag:ɔ:],verbe,,
tàggu,[tag:u],verbe,,
takk,[tʌk:],nom,,
takk,[tʌk:],verbe,,
tàkk,takʰ,,,
tàkk,takʰ,nom,,
tàkk,[tak:],verbe,,
tàkkaan,[tak:a:n],nom,,
takkaay,[tʌk:a:j],nom,,
takkam-takkam,[tʌk:ʌmtʌk:ʌm],,,
takkandeer,[tʌk:ʌnder],nom,,
takkarnaase,tɐk:ɐrnɐ:sɛ,adjectif,,
takkoo,[tʌk:ɔ:],nom,,
tàkk-tàkk,[tak:tak:],nom,,
takku,tɐk:u,adjectif,,
takku,[tʌk:u],verbe,,
tàkkusaan,[tak:usa:n],nom,,
takkute,,nom,,
tal,tɐl,adjectif,,
tal,[tʌl],verbe,,
talaata,[tʌla:tʌ],nom,,
talaata,[tʌla:tʌ],verbe,,
talalal,[tʌlʌlʌl],nom,,
talalali,[tʌlʌlʌli],verbe,,
tali,[tʌli],nom,,
tali,[tʌli],verbe,,
tàll,tal:,,,
tàll,[tal:],coverbe,,
tàllal,[tal:ʌl],,,
tàllal,[tal:ʌl],verbe,,
tàlli,tal:i,adjectif,,
talmbat,tɐlmbɐt,nom,,
taloη,tɐlɔŋ,nom,,
tam,tɐm,,,
tam,[tʌm],nom,,
tam,[tʌm],verbe,,
tama,[tʌmʌ],nom,,
tamaate,,,,
tamaate,[tʌma:te],nom,,
tamakat,tɐmɐkɐt,nom,,
tambaalu,[tʌmba:lu],verbe,,
tambaambalu,tɐmbɐ:mbɐlu,verbe,,
tàmbajeŋ,[tambʌɉeŋ],nom,,
tambal,[tʌmbʌl],nom,,
tàmbali,,,,
tàmbali,[tambali],verbe,,
tàmbasembe,[tambʌsembe],nom,,
tamboo,tɐmpɔ:,verbe,,
tame,tɐmɛ,nom,,
tame,tɐmɛ,verbe,,
tamit,tɐmit,,,
tàmm,,,,
tàmm,[tam:],verbe,,
tàmpe,[tampe],nom,,
tàmpe,[tampe],verbe,,
tàmpoŋ,[tampɔŋ],nom,,
tàmpoŋ,[tampɔŋ],verbe,,
tampoo,[tʌmpɔ:],verbe,,
tam-tamal,[tʌmtʌmʌl],verbe,,
tamxarit,[tʌmxʌrit],nom,,
tan,[tʌn],nom,,
tanc,[tʌŋc],verbe,,
tànc,[taɲc],verbe,,
tancaliku,tɐɲcaliku,adjectif,,
tand,tɐng,nom,,
tandale,[tʌndʌle],verbe,,
tandandër,[tʌndʌndər],nom,,
tandandiir,[tʌndʌndi:r],nom,,
tandandiir,[tʌndʌndi:r],verbe,,
tàndarma,[tandʌrmʌ],nom,,
tandu,[tʌndu],,,
tane,tɐnɛ,adjectif,,
tane,[tʌne],verbe,,
tàng,,,,
tàng,[taŋg],verbe,,
tàngaay,,,,
tàngaay,[taŋga:j],nom,,
tàngal,,,,
tàngal,[taŋgʌl],nom,,
tàngat,,,,
tàngat,[taŋgʌt],nom,,
tàng-na,,,,
tàngoor,[taŋgɔ:r],nom,,
tangor,tɐgɔr,nom,,
tàng-tàng,[taŋgtaŋg],nom,,
tàngulu,[taŋgulu],verbe,,
tani,[tʌni],nom,,
tani,[tʌni],verbe,,
tank,tɐŋk,nom,,
tank,[tʌŋk],verbe,,
tànk,[taŋk],nom,,
tanku,tɐŋku,verbe,,
tànku,[taŋku],verbe,,
tañlaay,[tʌɲla:j],nom,,
tànn,,,,
tànn,[tan:],verbe,,
tànn-béer,,,,
tànn-béer,[tan:be:r],nom,,
tànneef,,,,
tànnin,tɐn:in,nom,,
tànnit,tan:it,,,
tanq,[tʌŋq],verbe,,
tànq,[taŋq],verbe,,
tanqal,[tʌŋqʌl],verbe,,
tanqamlu,[tʌŋqʌmlu],,,
tanqamlu,tɐŋqɐmlu,verbe,,
tànt,[tant],nom,,
tànt,[tant],verbe,,
tànta,[tantʌ],nom,,
taŋ,[tʌŋ],nom,,
tapp,[tʌp:],verbe,,
tàpp,,,,
tàpp,[tap:],verbe,,
tàppaanga,[tap:a:ŋgʌ],nom,,
tàppaange,[tap:a:ŋge],nom,,
tappaas,,,,
tàppaat,[tap:a:t],nom,,
tàppaat,[tap:a:t],verbe,,
tappale,tɐp:ɐlɛ,,,
tappale,[tʌp:ʌle],verbe,,
tappaloo,tɐp:ɐlɔ:,adjectif,,
tàppandaar,,,,
tàppandaar,[tap:ʌnda:r],verbe,,
tàpparka,,,,
tàpparka,[tap:ʌrkʌ],nom,,
tàppe,tap:ɛ,verbe,,
tàppit /né/,[tap:it],coverbe,,
tàpp-tàppal,[tap:tap:ʌl],verbe,,
taq,tɐq,adjectif,,
taq,[tʌq],verbe,,
tàq,[taq],coverbe,,
taqaajoo,tɐqɐɟɔ:,verbe,,
taqal,tɐqɐl,verbe,,
taqale,tɐqɐlɛ,verbe,,
taqaloo,tɐqɐlɔ:,adjectif,,
tàqamtiku,,,,
tàqamtiku,[taqʌmtiku],verbe,,
tàqarci,[taqʌrci],verbe,,
tàqarñi,[taqʌrɲi],verbe,,
taqentaan,[tʌqenta:n],nom,,
tar,tɐr,adjectif,,
tar,[tʌr],nom,,
tar,[tʌr],verbe,,
taraj /né/,[tʌrʌɉ],coverbe,,
taral /né/,[tʌrʌl],coverbe,,
taraxlaay,tɐrɐxlɐ:y,nom,,
taraxlaayu,tɐrɐxlɐ:yu,adjectif,,
taraxlaayu,[tʌrʌxla:ju],verbe,,
tarbiyu,tɐrbiyu,verbe,,
tarde,tɐrdɛ,adjectif,,
tàrde,[tarde],verbe,,
taret,tɐrɛt,nom,,
tarfatal-ayni,[tʌrfʌtʌlajni],nom,,
tari,[tʌri],,,
tari,tɐri,verbe,,
tariixa,tɐri:xɐ,,,
tarjimaan,tɐrɟimɐ:n,nom,,
tarka,tɐrkɐ,nom,,
tarsu,tɐrsu,adjectif,,
tar-tar,tɐrtɐr,nom,,
tarxiis,[tʌrxi:s],,,
tarxiis,tɐrxi:s,verbe,,
tas,tɐs,adjectif,,
tas,[tʌs],verbe,,
tasaare,[tʌsa:re],verbe,,
tasaaroo,tɐsɐ:rɔ:,adjectif,,
tasab,[tʌsʌb],verbe,,
tasar /né/,[tʌsʌr],coverbe,,
tase,[tʌse],verbe,,
tata,[tʌtʌ],nom,,
tatafu,tɐtɐfu,verbe,,
taw,[tʌw],nom,,
taw,[tʌw],verbe,,
tawat,[tʌwʌt],nom,,
tawat,[tʌwʌt],verbe,,
tawféex,[tʌwfe:x],nom,,
tawreet,tɐwrɛ:t,nom,,
tawte,tɐwtɛ,adjectif,,
tawte,[tʌwte],verbe,,
tàwwi,[taw:i],verbe,,
tàwwiku,taw:iku,adjectif,,
tax,[tʌx],nom,,
tax,[tʌx],verbe,,
taxan,[tʌxʌn],verbe,,
taxañ,[tʌxʌɲ],nom,,
taxañ,[tʌxʌɲ],verbe,,
taxas,[tʌxʌs],nom,,
taxaw,tɐxɐw,adjectif,,
taxaw,[tʌxʌw],verbe,,
taxawaalu,[tʌxʌwa:lu],verbe,,
taxawaay,[tʌxʌwa:j],nom,,
taxawal,tɐxɐwɐl,verbe,,
taxawu,[tʌxʌwu],verbe,,
tay,[tʌj],nom,,
tay,[tʌj],verbe,,
taybaas,tɐybɐ:s,nom,,
tayeel,tɐyɛ:l,adjectif,,
tayel,[tʌjel],verbe,,
tayle,[tʌjle],nom,,
tayle,[tʌjle],verbe,,
tayu,tɐyu,nom,,
tayukaay,tɐyukɐ:y,nom,,
tàyyeel,,,,
tàyyi,tay:i,adjectif,,
tàyyi,[taj:i],verbe,,
te,[te],,,
të,tə,adjectif,,
të,[tə],verbe,,
tëb,[təb],verbe,,
tebbi,[teb:i],verbe,,
tëbu,təbu,adjectif,,
tëcc,[təc:],verbe,,
tëccu,təc:u,adjectif,,
tedd,tɛd:ᵊ,adjectif,,
tedd,[ted:],verbe,,
tëdd,təd:ᵊ,adjectif,,
